METID,nDissSteps,pKa_1,pKa_2,pKa_3,pKa_4,pKa_5,pKaType_1,pKaType_2,pKaType_3,pKaType_4,pKaType_5,ChargeA_1,ChargeA_2,ChargeA_3,ChargeA_4,ChargeA_5,ChargeA_6,ChargeB_1,ChargeB_2,ChargeB_3,ChargeB_4,ChargeB_5,ChargeB_6,pKaError_1,pKaError_2,pKaError_3,pKaError_4,pKaError_5,logP,LogP_error
1,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,3.82,0.2
2,5,3.18,4.5,8.09,17,18,1,-1,-1,0,0,0,0,-1,-2,-2,-2,1,0,0,0,0,0,0.1,1,0.7,0.01,0.01,2.66,0.85
3,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,3.21,0.29
4,5,4.55,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.17,0.01,0.01,0.01,0.01,3.12,0.42
5,5,3.54,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11,0.01,0.01,0.01,0.01,-0.37,0.22
6,5,3.01,15,16,17,18,1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0.1,0.01,0.01,0.01,0.01,-1.57,0.21
7,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,-2.49,0.28
8,5,2.69,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,0.01,0.01,0.01,0.01,3.58,0.59
9,5,4.04,10.33,16,17,18,-1,1,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,0,0,0,0.1,0.1,0.01,0.01,0.01,0.78,0.24
10,5,7.35,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.1,0.01,0.01,0.01,0.01,0.11,0.27
11,5,7.09,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,0.01,0.01,0.01,0.01,3.33,0.81
12,5,2.93,4.23,5.09,17,18,-1,-1,-1,0,0,0,-1,-2,-3,-3,-3,0,0,0,0,0,0,0.28,0.21,0.21,0.01,0.01,-1.2,0.4
13,5,3.01,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.1,0.01,0.01,0.01,0.01,2.01,0.25
14,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,4.15,0.26
15,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,1.77,0.25
16,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.44,0.26
17,5,5.56,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.01,0.01,0.01,0.01,3.45,0.25
18,5,7.11,9.73,16,17,18,-1,-1,0,0,0,0,-1,-2,-2,-2,-2,0,0,0,0,0,0,0.4,0.4,0.01,0.01,0.01,3.05,0.27
19,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,1.89,0.6
20,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,1.66,0.22
21,5,2.21,9.2,16,17,18,-1,1,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,0,0,0,0.1,0.15,0.01,0.01,0.01,0.24,0.28
22,5,10.62,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.01,0.01,0.01,0.01,4.59,0.4
23,5,9.19,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.01,0.01,0.01,0.01,3.84,0.35
24,5,9.98,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.01,0.01,0.01,0.01,1.38,0.36
25,5,8.97,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.01,0.01,0.01,0.01,4.02,0.38
26,5,10.27,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.01,0.01,0.01,0.01,2.99,0.34
27,5,9.31,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.01,0.01,0.01,0.01,3.35,0.3
28,5,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,3.36,0.16
29,5,8.23,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.15,0.01,0.01,0.01,0.01,2.9,0.22
30,5,4.84,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.3,0.01,0.01,0.01,0.01,2.88,0.24
31,5,8.38,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0.42,0.01,0.01,0.01,0.01,4.68,0.81
32,5,9.49,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.01,0.01,0.01,0.01,4.35,0.3
33,5,5.25,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.1,0.01,0.01,0.01,0.01,2.36,0.3
34,5,8.43,10.39,16,17,18,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.42,0.7,0.01,0.01,0.01,5.12,0.77
35,5,5.93,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.1,0.01,0.01,0.01,0.01,2.7,0.57
36,5,9.46,15,16,17,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.01,0.01,0.01,0.01,4.94,0.32
37,5,4.5,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0.01,0.01,0.01,0.01,3.13,0.79
38,5,2.06,7.13,16,17,18,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.7,0.61,0.01,0.01,0.01,-0.0651,0.49
39,5,8.6,15,16,17,18,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.5,0.01,0.01,0.01,0.01,-0.0212,0.3
