Temp,Mod,pHs,pH,fi_0,fi_25,fi_50,fi_80
25,MeOH,2.5,1,2.49,2.67,3.1,3.81
25,MeOH,3.3,2,3.4,3.63,4.07,4.83
25,MeOH,4.1,3,4.15,4.39,4.83,5.6
25,MeOH,4.9,4,4.93,5.26,5.8,6.69
25,MeOH,5.8,5,5.78,6.09,6.33,7.37
25,MeOH,6.8,6,6.8,7.91,8.43,8.52
25,MeOH,8.9,7,8.89,8.68,8.47,8.23
25,MeOH,9.7,8,9.63,9.46,9.28,9.02
25,MeOH,10.5,9,10.51,10.36,10.12,9.88
35,MeOH,2.5,1,2.51,2.72,3.13,3.82
35,MeOH,3.3,2,3.43,3.66,4.09,4.84
35,MeOH,4.1,3,4.18,4.41,4.85,5.61
35,MeOH,4.9,4,4.95,5.27,5.8,6.65
35,MeOH,5.8,5,5.8,6.11,6.31,7.27
35,MeOH,6.8,6,7.33,8.02,8.25,8.52
35,MeOH,8.9,7,8.59,8.28,8.12,7.9
35,MeOH,9.7,8,9.33,9.11,8.91,8.69
35,MeOH,10.5,9,10.19,9.98,9.75,9.47
25,ACN,2.5,1,2.49,2.76,3.21,4.08
25,ACN,3.3,2,3.4,3.72,4.23,5.14
25,ACN,4.1,3,4.15,4.47,4.86,5.94
25,ACN,4.9,4,4.93,5.44,6.04,7.06
25,ACN,5.8,5,5.78,6.25,6.8,7.5
25,ACN,6.8,6,6.8,8.1,8.44,8.57
25,ACN,8.9,7,8.89,8.58,8.35,7.86
25,ACN,9.7,8,9.63,9.43,9.19,8.63
25,ACN,10.5,9,10.51,10.23,9.98,9.56
35,ACN,2.5,1,2.51,2.76,3.22,4.14
35,ACN,3.3,2,3.43,3.73,4.24,5.16
35,ACN,4.1,3,4.18,4.48,4.86,5.94
35,ACN,4.9,4,4.95,5.44,6.02,7
35,ACN,5.8,5,5.8,6.24,6.77,7.33
35,ACN,6.8,6,7.33,8.17,8.48,8.18
35,ACN,8.9,7,8.59,8.21,8.01,7.51
35,ACN,9.7,8,9.33,9.1,8.84,8.25
35,ACN,10.5,9,10.19,9.88,9.59,9.4
