METID,Smiles
1,CCN(CC)C(=S)SSC(=S)N(CC)CC 
2,Cc1cnc(s1)NC(=O)C\3=C(/O)c2ccccc2S(=O)(=O)N/3C 
3,O=C(c1ccccc1)c2ccccc2 
4,O=C(O)CCC(=O)c2ccc(c1ccccc1)cc2 
5,c1cc(cnc1)C(=O)N 
6,C1=CC(=CC=C1N)S(=O)(=O)O 
7,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O 
8,O=C(OC)\C1=C(\N/C(=C(/C(=O)OC)C1c2ccccc2[N+]([O-])=O)C)C 
9,ClC1=CC=C(C(CC(O)=O)CN)C=C1 
10,O=S(=O)(Nc1nc(ccn1)C)c2ccc(N)cc2 
11,O=C(O[C@H]7CC[C@@]1([C@@]65O[C@@]7(O)[C@H]1CC[C@H]6[C@@]2(O)[C@](O)([C@H]4[C@](O)([C@@H](O)C2)[C@@](O)(C)[C@H]3N(C[C@@H](C)CC3)C4)C5)C)c8ccc(OC)c(OC)c8 
12,OC(=O)CC(O)(C(=O)O)CC(=O)O 
13,c1ccc(c(c1)C(=O)O)O 
14,c1ccc2c(c1)Nc3ccccc3S2 
15,n2cc1ccccc1n2 
16,O=C1C=C(C)N(C)N1c2ccccc2 
17,c1c3ccccc3nc2ccccc12 
18,O=C1NC(S)=NC(=O)C1(CC)C(C)CCC 
19,c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N 
20,O=C(Nc1ccc(OCC)cc1)C 
21,N[C@@H](CC1=CC=CC=C1)C(O)=O 
22,N\1=C(\NCC/1)Cc2c(cc(cc2C)C(C)(C)C)C 
23,CN(C)CC/C=C1C2=C(C=CC=C2)OCC3=C/1C=CC=C3 
24,CN3[C@H]1CC[C@@H]3C[C@@H](C1)OC(=O)C(CO)c2ccccc2 
25,N#CC(c1cc(OC)c(OC)cc1)(CCCN(CCc2ccc(OC)c(OC)c2)C)C(C)C 
26,N\1=C(\NCC/1)Cc2cccc3c2cccc3 
27,O=C(c1ccccc1OCC(O)CNCCC)CCc2ccccc2 
28,c1ccc2ccccc2c1 
29,O=C(OCCC)c1ccc(O)cc1 
30,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O 
31,CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl 
32,c1cc3c(cc1)CCc2c(cccc2)N3CCCN(C)C 
33,O=S(=O)(c1ccc(cc1)C)NC(=O)NCCCC 
34,CN1CCN(CC1)C/2=N/c4ccccc4Nc3sc(C)cc\23 
35,[O-][N+](=O)c2cc(Oc1ccccc1)c(cc2)NS(=O)(=O)C 
36,ClC1=CC(N(CCCN(C)C)C2=C(CC3)C=CC=C2)=C3C=C1 
37,CC(=O)CC(C\1=C(/O)c2ccccc2OC/1=O)c3ccccc3 
38,CC1=C(N=CN1)CSCCNC(=NC)NC#N 
39,Cn1c2c(c(=O)n(c1=O)C)[nH]cn2 
40,c3cc2c(/C(c1c(cccc1)CC2)=C/CCNC)cc3 
41,O=C(N3CCN(c2nc1cc(OC)c(OC)cc1c(n2)N)CC3)c4occc4 
42,Clc1ccc(cc1)C(c2ncccc2)CCN(C)C 
43,O(c4cc1c(nccc1[C@H](O)[C@@H]2N3CC[C@@H](C2)[C@@H](/C=C)C3)cc4)C 
44,O=C(O)c1ccccc1 
45,Clc1cc(c(OC)cc1N)C(=O)NCCN(CC)CC 
46,CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl 
47,Clc2cc1C(\c3c(Sc1cc2)cccc3)=C/CCN(C)C 
48,O=C2N(c1ccccc1)N(C(=O)C2CCCC)c3ccccc3 
49,c3cc2c(/C(c1c(cccc1)CC2)=C\CCN(C)C)cc3 
50,O=C2N(c3c(S[C@@H](c1ccc(OC)cc1)[C@H]2OC(=O)C)cccc3)CCN(C)C 
51,O(CCN(C)C)C(c1ccccc1)c2ccccc2 
52,COc1ccc(cc1OC)Cc2c3cc(c(cc3ccn2)OC)OC 
53,O=C2\C(=C(/N(N2c1ccccc1)C)C)N(C)C 
54,Clc1c(c(Cl)ccc1)N/C2=N/CCN2 
55,c1cc(N)ccc1S(=O)(=O)N=C(N)N 
56,O=S(=O)(Nc1nccs1)c2ccc(N)cc2 
57,O(c4ccccc4OCCNCC(O)COc3cccc2c3c1c(cccc1)n2)C 
58,O=C1NC(=O)SC1Cc3ccc(OCCc2ncc(cc2)CC)cc3 
59,o1cccc1CNc(cc2Cl)c(C(=O)O)cc2S(=O)(=O)N 
60,CN1C=NC2=C1C(=O)N(C(=O)N2C)C 
61,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)O 
62,O=S(=O)(c1ccc(Cl)cc1)NC(=O)NCCC 
63,O=C(O)c1ccccc1c2ccc(cc2)Cn3c4cc(cc(c4nc3CCC)C)c5nc6ccccc6n5C 
64,NS(=O)(=O)/N=C(\N)CCSCc1csc(n1)N=C(N)N 
65,S2c1ccccc1N(c3c2cccc3)CC(N(C)C)C 
66,O=C(c1ccccc1O)N 
67,O=C(c1ccccc1)NC4CCN(CCc3c2ccccc2nc3)CC4 
68,O=C(C)CCc1ccc2c(c1)ccc(OC)c2 
69,Clc2cc1N(c3c(Sc1cc2)cccc3)CCCN4CCN(CCO)CC4 
70,O=C(OC)CCc1ccc(OCC(O)CNC(C)C)cc1 
71,O=C(OC)[C@H]6[C@H]4C[C@@H]3c2nc1cc(OC)ccc1c2CCN3C[C@H]4C[C@@H](OC(=O)c5cc(OC)c(OC)c(OC)c5)[C@@H]6OC 
72,O=C(c1cc(ccc1O)C(O)CNC(C)CCc2ccccc2)N 
73,O=C(Oc1cc2c(cc1)N([C@H]3N(CC[C@@]23C)C)C)NC 
74,O(CCc1ccc(OCC(O)CNC(C)C)cc1)CC2CC2 
75,O=C(OC)[C@@H]5[C@H]4C[C@H]3c2nc1ccccc1c2CCN3C[C@@H]4CC[C@@H]5O 
76,CC(C)NCC(O)COc2cccc1[nH]ccc12 
77,O=C(O)c1cccc2nc(OCC)n(c12)Cc5ccc(c3ccccc3c4nnnn4)cc5 
78,O=C(OCC)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@H]12)C)CCc3ccccc3 
79,COC(=O)[C@H](c1ccccc1Cl)N2CCc3c(ccs3)C2 
80,O=S(=O)(N)c1c(Cl)cc2c(c1)S(=O)(=O)NCN2 
81,O=S(=O)(c1ccc(N)cc1)NC(=O)C 
82,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC 
83,CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc2cc(C)ccc2 
84,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1 
85,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)Cc3ccccc3)C(=O)O)C 
86,O=C(O)[C@H]2N(C(=O)[C@@H](N[C@H](C(=O)OCC)CCc1ccccc1)C)CCC2 
87,Brc1ccccc1C[N+](CC)(C)C 
88,[O-][N+](=O)C=C(NC)NCCSCc1ccc(o1)CN(C)C 
89,O=C(N3CCN(c2nc1cc(OC)c(OC)cc1c(n2)N)CC3)C4Oc5c(OC4)cccc5 
90,O=C(O)Cc1ccccc1Nc2c(Cl)cccc2Cl 
91,O=C(N)C(c1ncccc1)(c2ccccc2)CCN(C(C)C)C(C)C 
92,CC(=O)Nc1ccc(O)cc1 
93,CCCC(=O)NC1=CC(=C(C=C1)O)C(=O)C 
94,OC(=O)c1cccnc1 
95,Cc1c(sc[n+]1Cc2cnc([nH]c2=N)C)CCO 
96,C(C1C(C(C(O1)N2C3=C(C(=O)N=C(N3)N)N=C2Br)O)O)O 
97,C1=CC=C(C=C1)CCCCC(=O)O 
98,O=C(N)C[C@H](N)C(=O)O 
99,C[C@H]([C@@H](C(=O)O)N)O 
100,N\1=C(\NCC/1)Cc2ccccc2 
101,O=C(Oc2ccccc2)c1c(O)cccc1 
102,CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O 
103,C([C@@H](C(=O)O)N)S 
104,O=C1/N=C(/N)\C=C/N1[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)CO 
105,C1=CC(=CC(=C1)O)C(=O)O 
106,O=P(O)(O)C(O)(CCCN)P(=O)(O)O 
107,c1c2c(cc(c1F)N3CCNCC3)n(cc(c2=O)C(=O)O)C4CC4 
108,O=S(=O)(N)c1c(Cl)ccc(c1)C(=O)NN3c2ccccc2CC3C 
109,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O 
110,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F 
111,O=S(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1 
112,O=C2N(c1ccccc1)N(C(=O)C2CCS(=O)c3ccccc3)c4ccccc4 
113,c1c(cccc1)C(c2ccccc2)N3CCN(CC3)C\C=C\c4ccccc4 
